./bin/main
|	      Test	|	        N 	|	      lgN 	|	  1.45lgN 	|	       AVL	|	       RB 	|
|	----------	|	----------	|	----------	|	----------	|	----------	|	----------	|
|	         0	|	    998976	|	   19.9301	|	   28.8986	|	        20	|	        37	|
|	         1	|	   1000666	|	   19.9325	|	   28.9022	|	        24	|	        24	|
|	         2	|	    999830	|	   19.9313	|	   28.9004	|	        24	|	        24	|
|	         3	|	   1000962	|	    19.933	|	   28.9028	|	        24	|	        25	|
|	         4	|	    999580	|	    19.931	|	   28.8999	|	        24	|	        24	|
|	         5	|	    999824	|	   19.9313	|	   28.9004	|	        24	|	        24	|
|	         6	|	    999003	|	   19.9301	|	   28.8987	|	        24	|	        25	|
|	         7	|	   1000316	|	    19.932	|	   28.9014	|	        24	|	        24	|
|	         8	|	    999441	|	   19.9308	|	   28.8996	|	        24	|	        25	|
|	         9	|	    999843	|	   19.9313	|	   28.9004	|	        20	|	        37	|
